Dataset,Retriever,Question,Gold Answer,LLM Answer,Claim,Claim Label,Entailment Score,Contradiction Score,Evidence Preview
v1,hybrid_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl 50 was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes","The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"",",supported,0.944762647151947,0.004430009052157402,"the logo could prominently feature the Arabic numerals 50. The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes in the Bay Area. The committee created the 50 fund as its philanthropic initiati"
v1,hybrid_v1+LLM,Where did Super Bowl 50 take place?,"Santa Clara, California","The Super Bowl 50 was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes",will dedicate 25 percent of all money it raises for philanthropic causes,supported,0.8527251482009888,0.0035888932179659605,"the logo could prominently feature the Arabic numerals 50. The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 percent of all money it raises for philanthropic causes in the Bay Area. The committee created the 50 fund as its philanthropic initiati"
v1,bm25_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,The Broncos won Super Bowl 50.,The Broncos won Super Bowl 50.,contradicted,0.8680107593536377,0.8901826739311218,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl i"
v1,dpr_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is,The Super Bowl is a Super Bowl.,supported,0.7544688582420349,0.5773323774337769,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super B
v1,dpr_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is,The Super Bowl is,contradicted,0.09497977793216705,0.8602076172828674,"the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50. The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NF"
v1,hybrid_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,"The Broncos' Super Bowl 50 was the first time they had won a Super Bowl. The Broncos won Super Bowl XXXIII, and the Super Bowl XXI was the first time they had won a Super Bowl. The Broncos won Super Bowl XXII, and the Super Bowl XXIV was the first time",The Broncos' Super Bowl 50 was the first time they had won a Super Bowl.,contradicted,0.03721031919121742,0.9994033575057983,"the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player. Super Bowl 50 was an American "
v1,hybrid_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,"The Broncos' Super Bowl 50 was the first time they had won a Super Bowl. The Broncos won Super Bowl XXXIII, and the Super Bowl XXI was the first time they had won a Super Bowl. The Broncos won Super Bowl XXII, and the Super Bowl XXIV was the first time","The Broncos won Super Bowl XXXIII,",supported,0.9697167873382568,0.9275795221328735,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl i"
v1,hybrid_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,"The Broncos' Super Bowl 50 was the first time they had won a Super Bowl. The Broncos won Super Bowl XXXIII, and the Super Bowl XXI was the first time they had won a Super Bowl. The Broncos won Super Bowl XXII, and the Super Bowl XXIV was the first time",the Super Bowl XXI was the first time they had won a Super Bowl.,contradicted,0.012589163146913052,0.9995552897453308,"Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as "
v1,hybrid_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,"The Broncos' Super Bowl 50 was the first time they had won a Super Bowl. The Broncos won Super Bowl XXXIII, and the Super Bowl XXI was the first time they had won a Super Bowl. The Broncos won Super Bowl XXII, and the Super Bowl XXIV was the first time","The Broncos won Super Bowl XXII,",contradicted,0.030941572040319443,0.9840244650840759,"Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as "
v1,hybrid_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,"The Broncos' Super Bowl 50 was the first time they had won a Super Bowl. The Broncos won Super Bowl XXXIII, and the Super Bowl XXI was the first time they had won a Super Bowl. The Broncos won Super Bowl XXII, and the Super Bowl XXIV was the first time",the Super Bowl XXIV was the first time,contradicted,0.020390700548887253,0.9970026612281799,"Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as "
v1,bm25_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,The color used for the Super Bowl was black.,The color used for the Super Bowl was black.,contradicted,0.03388603404164314,0.7300100326538086,"as a hitherto unknown incarnation of the Doctor known as the War Doctor in the run-up to the show's 50th anniversary special ""The Day of the Doctor"". He is shown in mini-episode ""The Night of the Doctor"" to have been retroactively inserted into the show's fictional chronology between McGann and Eccl"
v1,dpr_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The 50th anniversary of the Super Bowl was celebrated in the NFL's history. The Super Bowl was the first time the NFL had a logo that featured the 50th anniversary of the Super Bowl. The NFL's logo was designed to be a ""super-colored"" logo, and the NFL logo was",The 50th anniversary of the Super Bowl was celebrated in the NFL's history.,supported,0.9751763343811035,0.04062541574239731,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super B
v1,dpr_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The 50th anniversary of the Super Bowl was celebrated in the NFL's history. The Super Bowl was the first time the NFL had a logo that featured the 50th anniversary of the Super Bowl. The NFL's logo was designed to be a ""super-colored"" logo, and the NFL logo was",The Super Bowl was the first time the NFL had a logo that featured the 50th anniversary of the Super Bowl.,unsupported,0.04451208934187889,0.533928632736206,
v1,dpr_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The 50th anniversary of the Super Bowl was celebrated in the NFL's history. The Super Bowl was the first time the NFL had a logo that featured the 50th anniversary of the Super Bowl. The NFL's logo was designed to be a ""super-colored"" logo, and the NFL logo was","The NFL's logo was designed to be a ""super-colored"" logo,",unsupported,0.09112914651632309,0.1703496277332306,
v1,dpr_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The 50th anniversary of the Super Bowl was celebrated in the NFL's history. The Super Bowl was the first time the NFL had a logo that featured the 50th anniversary of the Super Bowl. The NFL's logo was designed to be a ""super-colored"" logo, and the NFL logo was",the NFL logo was,unsupported,0.11491244286298752,0.4134456217288971,
v1,hybrid_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The 50th anniversary of the Super Bowl was celebrated on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. The Super Bowl was the first time the NFL had ever been televised in the United States. The NFL's first Super Bowl was played in the","The 50th anniversary of the Super Bowl was celebrated on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",supported,0.9609872698783875,0.1713169813156128,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super B
v1,hybrid_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The 50th anniversary of the Super Bowl was celebrated on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. The Super Bowl was the first time the NFL had ever been televised in the United States. The NFL's first Super Bowl was played in the",The Super Bowl was the first time the NFL had ever been televised in the United States.,contradicted,0.00522259995341301,0.9838899374008179,"the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50. In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43"
v1,hybrid_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The 50th anniversary of the Super Bowl was celebrated on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. The Super Bowl was the first time the NFL had ever been televised in the United States. The NFL's first Super Bowl was played in the",The NFL's first Super Bowl was played in the,contradicted,0.05005227401852608,0.6834848523139954,"quarterback) was shown in the locker room preparing for the game. No plans were announced regarding the recognition of Harvey Martin, co-MVP of Super Bowl XII, who died in 2001. As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white"
v1,bm25_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","Super Bowl 50 was a celebration of the Super Bowl, and the Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was","Super Bowl 50 was a celebration of the Super Bowl,",unsupported,0.12906500697135925,0.17866776883602142,
v1,bm25_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","Super Bowl 50 was a celebration of the Super Bowl, and the Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was",the Super Bowl was a celebration of the Super Bowl.,unsupported,0.3651527762413025,0.5009708404541016,
v1,bm25_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","Super Bowl 50 was a celebration of the Super Bowl, and the Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was",The Super Bowl was,contradicted,0.14750175178050995,0.6392824649810791,"temporarily suspended, and that the game would be named using Arabic numerals as Super Bowl 50 as opposed to Super Bowl L. The use of Roman numerals will be reinstated for Super Bowl LI. Jaime Weston, the league's vice president of brand and creative, explained that a primary reason for the change w"
v1,dpr_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","Super Bowl 50 was a celebration of the 50th anniversary of the NFL's first Super Bowl. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""gold",Super Bowl 50 was a celebration of the 50th anniversary of the NFL's first Super Bowl.,unsupported,0.034050144255161285,0.3414357602596283,
v1,dpr_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","Super Bowl 50 was a celebration of the 50th anniversary of the NFL's first Super Bowl. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""gold","The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",supported,0.7687143683433533,0.0021047601476311684,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super B
v1,dpr_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","Super Bowl 50 was a celebration of the 50th anniversary of the NFL's first Super Bowl. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""gold","As this was the 50th Super Bowl, the league emphasized the ""gold",supported,0.9937438368797302,0.0558144748210907,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super B
v1,hybrid_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the","The theme of Super Bowl 50 was the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the",supported,0.9412648677825928,0.05015590786933899,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super B
v1,bm25_v1+LLM,What day was the game played on?,"February 7, 2016","February 7, 2016.","February 7, 2016.",contradicted,0.6860180497169495,0.9840901494026184,"turf collapsed under Baltimore Ravens kicker Justin Tucker, causing him to slip and miss a field goal, although the field has not had any major issues since. As is customary for Super Bowl games played at natural grass stadiums, the NFL re-sodded the field with a new playing surface; a hybrid Bermud"
v1,dpr_v1+LLM,What day was the game played on?,"February 7, 2016","February 1, 2016.","February 1, 2016.",contradicted,0.6830797791481018,0.9726239442825317,"the NBA Finals. In 1965, the corporate entity, American Broadcasting-Paramount Theatres, was renamed as the American Broadcasting Companies, while its cinema division became ABC Theatres;[citation needed] its recording division was renamed ABC Records in 1966. In December of that year, the ABC telev"
v1,hybrid_v1+LLM,What day was the game played on?,"February 7, 2016","February 7, 2016.","February 7, 2016.",supported,0.6860180497169495,0.5107755064964294,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super B
v1,bm25_v1+LLM,What is the AFC short for?,American Football Conference,"The AFC short is the time at which the AFC is considered the most important team in the NFL. The AFC is the most important team in the NFL, and the AFC is the most important team in the NFL. The AFC is the most important team in the NFL, and the AFC is the most",The AFC short is the time at which the AFC is considered the most important team in the NFL.,contradicted,0.05436856299638748,0.8907271027565002,"soldiers were stranded and surrendered to the numerically inferior Spanish forces led by Pedro Menendez. Menendez proceeded to massacre the defenseless Huguenots, after which he wiped out the Fort Caroline garrison. The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scor"
v1,bm25_v1+LLM,What is the AFC short for?,American Football Conference,"The AFC short is the time at which the AFC is considered the most important team in the NFL. The AFC is the most important team in the NFL, and the AFC is the most important team in the NFL. The AFC is the most important team in the NFL, and the AFC is the most","The AFC is the most important team in the NFL,",unsupported,0.0016923951916396618,0.14825694262981415,
v1,bm25_v1+LLM,What is the AFC short for?,American Football Conference,"The AFC short is the time at which the AFC is considered the most important team in the NFL. The AFC is the most important team in the NFL, and the AFC is the most important team in the NFL. The AFC is the most important team in the NFL, and the AFC is the most",the AFC is the most important team in the NFL.,unsupported,0.0029047809075564146,0.35406798124313354,
v1,bm25_v1+LLM,What is the AFC short for?,American Football Conference,"The AFC short is the time at which the AFC is considered the most important team in the NFL. The AFC is the most important team in the NFL, and the AFC is the most important team in the NFL. The AFC is the most important team in the NFL, and the AFC is the most",the AFC is the most,unsupported,0.10079776495695114,0.5843397974967957,
v1,dpr_v1+LLM,What is the AFC short for?,American Football Conference,The AFC short for the AFC Championship Game is the Super Bowl Championship Game. The AFC Championship Game is the Super Bowl Championship Game. The AFC Championship Game is the Super Bowl Championship Game. The AFC Championship Game is the Super Bowl Championship Game. The AFC Championship Game is the Super Bowl Championship Game. The,The AFC short for the AFC Championship Game is the Super Bowl Championship Game.,contradicted,0.09663369506597519,0.9666221737861633,"Bowl V, would be temporarily suspended, and that the game would be named using Arabic numerals as Super Bowl 50 as opposed to Super Bowl L. The use of Roman numerals will be reinstated for Super Bowl LI. Jaime Weston, the league's vice president of brand and creative, explained that a primary reason"
v1,dpr_v1+LLM,What is the AFC short for?,American Football Conference,The AFC short for the AFC Championship Game is the Super Bowl Championship Game. The AFC Championship Game is the Super Bowl Championship Game. The AFC Championship Game is the Super Bowl Championship Game. The AFC Championship Game is the Super Bowl Championship Game. The AFC Championship Game is the Super Bowl Championship Game. The,The AFC Championship Game is the Super Bowl Championship Game.,contradicted,0.2871122360229492,0.9836763739585876,"Bowl V, would be temporarily suspended, and that the game would be named using Arabic numerals as Super Bowl 50 as opposed to Super Bowl L. The use of Roman numerals will be reinstated for Super Bowl LI. Jaime Weston, the league's vice president of brand and creative, explained that a primary reason"
v1,hybrid_v1+LLM,What is the AFC short for?,American Football Conference,"The AFC Short for is the AFC Championship Game. The AFC Championship Game is the most important game of the year, and the AFC Short for is the most important game of the year. The AFC Championship Game is the most important game of the year, and the AFC Championship Game is the most important game",The AFC Short for is the AFC Championship Game.,contradicted,0.3570782244205475,0.9792128205299377,"but this compresses the most recent eon. Therefore, the second scale shows the most recent eon with an expanded scale. The second scale compresses the most recent era, so the most recent era is expanded in the third scale. Since the Quaternary is a very short period with short epochs, it is further "
v1,hybrid_v1+LLM,What is the AFC short for?,American Football Conference,"The AFC Short for is the AFC Championship Game. The AFC Championship Game is the most important game of the year, and the AFC Short for is the most important game of the year. The AFC Championship Game is the most important game of the year, and the AFC Championship Game is the most important game","The AFC Championship Game is the most important game of the year,",unsupported,0.0019121168879792094,0.19889050722122192,
v1,hybrid_v1+LLM,What is the AFC short for?,American Football Conference,"The AFC Short for is the AFC Championship Game. The AFC Championship Game is the most important game of the year, and the AFC Short for is the most important game of the year. The AFC Championship Game is the most important game of the year, and the AFC Championship Game is the most important game",the AFC Short for is the most important game of the year.,contradicted,0.029812898486852646,0.7143059372901917,"0-4 in Super Bowls when wearing orange jerseys, losing in Super Bowl XII, XXII, XXIV, and XLVIII. The only other AFC champion team to have worn white as the designated home team in the Super Bowl was the Pittsburgh Steelers; they defeated the Seattle Seahawks 21–10 in Super Bowl XL 10 seasons prior."
v1,hybrid_v1+LLM,What is the AFC short for?,American Football Conference,"The AFC Short for is the AFC Championship Game. The AFC Championship Game is the most important game of the year, and the AFC Short for is the most important game of the year. The AFC Championship Game is the most important game of the year, and the AFC Championship Game is the most important game",the AFC Championship Game is the most important game,unsupported,0.0017279699677601457,0.1218242421746254,
v1,bm25_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","Super Bowl 50 was a celebration of the Super Bowl, and the Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was","Super Bowl 50 was a celebration of the Super Bowl,",unsupported,0.12906500697135925,0.17866776883602142,
