Dataset,Retriever,Question,Gold Answer,LLM Answer,Retrieved Context Preview,TopK,Mean Retrieval Score,Retrieval Hit@K,Exact Match,F1,BLEU,ROUGE-L,Semantic Similarity,Num Claims,Supported Claims,Unsupported Claims,Contradicted Claims,Faithfulness,Extrinsic Hallucination Rate,Intrinsic Hallucination Rate,Hallucination Rate,Step Time Sec
v1,dpr_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is a Super Bowl. The Super Bowl is,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.628760826587677,1,0,0.0,0.0,0.0,0.21713334,2,1,0,1,0.5,0.0,0.5,0.5,0.9084928035736084
v1,hybrid_v1+LLM,Which NFL team won Super Bowl 50?,Denver Broncos,"The Broncos' Super Bowl 50 was the first time they had won a Super Bowl. The Broncos won Super Bowl XXXIII, and the Super Bowl XXI was the first time they had won a Super Bowl. The Broncos won Super Bowl XXII, and the Super Bowl XXIV was the first time","As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,0.8609862473941995,1,0,0.03773584905660377,0.6609918289641935,0.03773584905660377,0.45278955,5,1,0,4,0.2,0.0,0.8,0.8,1.5182979106903076
v1,bm25_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,The color used for the Super Bowl was black.,"The original logo used for the First Doctor (and briefly for the Second Doctor) was reused in a slightly modified format for the 50th anniversary special ""The Day of the Doctor"" during the Eleventh Doctor's run. The logo used in the television movie featuring the Eighth Doctor was an updated version of the logo used for the Third Doctor. The logo from 1973–80 was used for the Third Doctor's final season and for the majority of the Fourth Doctor's tenure. The following logo, while most associated",5,24.813526214036067,1,0,0.0,0.0,0.0,0.16267835,1,0,0,1,0.0,0.0,1.0,1.0,0.8445744514465332
v1,dpr_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The 50th anniversary of the Super Bowl was celebrated in the NFL's history. The Super Bowl was the first time the NFL had a logo that featured the 50th anniversary of the Super Bowl. The NFL's logo was designed to be a ""super-colored"" logo, and the NFL logo was","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.575075626373291,1,0,0.0,0.0,0.0,0.043514647,4,1,3,0,0.25,0.75,0.0,0.75,1.1918833255767822
v1,hybrid_v1+LLM,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The 50th anniversary of the Super Bowl was celebrated on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. The Super Bowl was the first time the NFL had ever been televised in the United States. The NFL's first Super Bowl was played in the","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.9155903862219409,1,0,0.0,0.0,0.0,0.015009513,3,1,0,2,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1.0825228691101074
v1,bm25_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","Super Bowl 50 was a celebration of the Super Bowl, and the Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was","In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck Howley (MVP of Super Bowl V) appeared via video, while Peyton Manning (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game. No plans were announced regarding the recognition of Harvey Martin, co-MVP of Super Bowl XII, who died in 2001. Super Bowl",5,23.136407626484843,0,0,0.0,0.0,0.0,0.23724928,3,0,2,1,0.0,0.6666666666666666,0.3333333333333333,1.0,1.106804370880127
v1,dpr_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","Super Bowl 50 was a celebration of the 50th anniversary of the NFL's first Super Bowl. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""gold","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.5693992137908935,1,0,0.0,0.7716270058689811,0.03773584905660377,0.3071242,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.9514219760894775
v1,hybrid_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.9067315560679303,1,0,0.07692307692307693,3.9182254304392083,0.07547169811320754,0.4503628,1,1,0,0,1.0,0.0,0.0,0.0,0.8336565494537354
v1,bm25_v1+LLM,What day was the game played on?,"February 7, 2016","February 7, 2016.","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,14.137022380053372,1,0,0.6666666666666666,66.87403049764218,1.0,0.9738297,1,0,0,1,0.0,0.0,1.0,1.0,0.7752828598022461
v1,dpr_v1+LLM,What day was the game played on?,"February 7, 2016","February 1, 2016.","The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1, 2016 at SAP Center in San Jose. Alongside the traditional media availabilities, the event featured an opening ceremony with player introductions on a replica of the Golden Gate Bridge. In 1970, ABC debuted Monday Night Football as part of its Monday prime time schedule; the program became a hit for",5,0.4297470569610596,0,0,0.3333333333333333,23.643540225079395,0.6666666666666666,0.91652864,1,0,0,1,0.0,0.0,1.0,1.0,0.8731234073638916
v1,hybrid_v1+LLM,What day was the game played on?,"February 7, 2016","February 7, 2016.","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.7592974629855614,1,0,0.6666666666666666,66.87403049764218,1.0,0.9738297,1,1,0,0,1.0,0.0,0.0,0.0,0.8795101642608643
v1,bm25_v1+LLM,What is the AFC short for?,American Football Conference,"The AFC short is the time at which the AFC is considered the most important team in the NFL. The AFC is the most important team in the NFL, and the AFC is the most important team in the NFL. The AFC is the most important team in the NFL, and the AFC is the most","As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,10.856546167115514,0,0,0.0,0.0,0.0,0.378047,4,0,3,1,0.0,0.75,0.25,1.0,1.239210605621338
v1,dpr_v1+LLM,What is the AFC short for?,American Football Conference,The AFC short for the AFC Championship Game is the Super Bowl Championship Game. The AFC Championship Game is the Super Bowl Championship Game. The AFC Championship Game is the Super Bowl Championship Game. The AFC Championship Game is the Super Bowl Championship Game. The AFC Championship Game is the Super Bowl Championship Game. The,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.38170632123947146,1,0,0.0,0.0,0.0,0.33900863,2,0,0,2,0.0,0.0,1.0,1.0,0.9124598503112793
v1,hybrid_v1+LLM,What is the AFC short for?,American Football Conference,"The AFC Short for is the AFC Championship Game. The AFC Championship Game is the most important game of the year, and the AFC Short for is the most important game of the year. The AFC Championship Game is the most important game of the year, and the AFC Championship Game is the most important game","The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games. As the designated home team in the ",5,0.8512205354443889,0,0,0.0,0.0,0.0,0.42933735,4,0,2,2,0.0,0.5,0.5,1.0,1.4358806610107422
v1,bm25_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","Super Bowl 50 was a celebration of the Super Bowl, and the Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was a celebration of the Super Bowl. The Super Bowl was","In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck Howley (MVP of Super Bowl V) appeared via video, while Peyton Manning (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game. No plans were announced regarding the recognition of Harvey Martin, co-MVP of Super Bowl XII, who died in 2001. Super Bowl",5,23.136407626484843,0,0,0.0,0.0,0.0,0.23724928,3,0,2,1,0.0,0.6666666666666666,0.3333333333333333,1.0,1.1015920639038086
v1,dpr_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","Super Bowl 50 was a celebration of the 50th anniversary of the NFL's first Super Bowl. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""gold","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.5693992137908935,1,0,0.0,0.7716270058689811,0.03773584905660377,0.3071242,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.9467737674713135
v1,hybrid_v1+LLM,What was the theme of Super Bowl 50?,"""golden anniversary""","The theme of Super Bowl 50 was the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.9067315560679303,1,0,0.07692307692307693,3.9182254304392083,0.07547169811320754,0.4503628,1,1,0,0,1.0,0.0,0.0,0.0,0.8313078880310059
v1,bm25_v1+LLM,What does AFC stand for?,American Football Conference,The AFC stands for the AFC.,"Tesla also explained the principles of the rotating magnetic field in an induction motor by demonstrating how to make a copper egg stand on end using a device he constructed known as the Egg of Columbus. By 1526, Luther found himself increasingly occupied in organising a new church. His Biblical ideal of congregations' choosing their own ministers had proved unworkable. According to Bainton: ""Luther's dilemma was that he wanted both a confessional church based on personal faith and experience an",5,8.088826574342354,0,0,0.0,0.0,0.0,0.52567554,1,1,0,0,1.0,0.0,0.0,0.0,0.7973823547363281
v1,dpr_v1+LLM,What does AFC stand for?,American Football Conference,The AFC stands for the AFC North. The AFC North is the North American Football Conference (NAFC). The North is the North American Football Conference (NAFC). The North is the North American Football Conference (NAFC). The North is the North American Football Conference (NAFC). The North is,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.35078375935554507,1,0,0.12,2.250110187024035,0.12,0.49405003,4,0,0,4,0.0,0.0,1.0,1.0,1.1950397491455078
v1,hybrid_v1+LLM,What does AFC stand for?,American Football Conference,"The AFC stands for AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC, AFC,","As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl success in our white uniforms."" The Broncos last wore matching white jerseys and pants in the Super Bowl in Super Bowl XXXIII, Elway's last game as Denver QB, when they defeated the Atlanta Falcons 34–19. In their only other Super Bowl win in Super Bowl XXXII, Denver wore blue jerseys, which was their pri",5,0.7965063285626692,0,0,0.0,0.0,0.0,0.4103301,1,1,0,0,1.0,0.0,0.0,0.0,0.8976569175720215
v1,bm25_v1+LLM,What day was the Super Bowl played on?,"February 7, 2016","February 7, 2016.","With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bowl in which both head coaches played in the game themselves. Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC)",5,21.747871560290385,1,0,0.6666666666666666,66.87403049764218,1.0,0.9738297,1,1,0,0,1.0,0.0,0.0,0.0,0.843855619430542
v1,dpr_v1+LLM,What day was the Super Bowl played on?,"February 7, 2016","February 7, 2016.","The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1, 2016 at SAP Center in San Jose. Alongside the traditional media availabilities, the event featured an opening ceremony with player introductions on a replica of the Golden Gate Bridge. Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for th",5,0.6025224089622497,1,0,0.6666666666666666,66.87403049764218,1.0,0.9738297,1,1,0,0,1.0,0.0,0.0,0.0,0.8114261627197266
v1,hybrid_v1+LLM,What day was the Super Bowl played on?,"February 7, 2016","February 7, 2016.","Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.8447942273511113,1,0,0.6666666666666666,66.87403049764218,1.0,0.9738297,1,1,0,0,1.0,0.0,0.0,0.0,0.7905452251434326
v1,bm25_v1+LLM,Who won Super Bowl 50?,Denver Broncos,The Super Bowl 50 was the first time the Broncos had ever won a Super Bowl. The Super Bowl 50 was the first time the Broncos had ever won a Super Bowl. The Super Bowl 50 was the first time the Broncos had ever won a Super Bowl. The Super Bowl 50 was the first time the,"Super Bowl 50 featured numerous records from individuals and teams. Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11). Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team. The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV. Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost. The Broncos' seven sacks tied a Super Bowl record set",5,17.976617902957106,1,0,0.033898305084745756,0.6044751875664687,0.033898305084745756,0.4048453,2,0,0,2,0.0,0.0,1.0,1.0,1.0046586990356445
v1,dpr_v1+LLM,Who won Super Bowl 50?,Denver Broncos,The Super Bowl is a national championship game. The Super Bowl is a national championship game. The Super Bowl is a national championship game. The Super Bowl is a national championship game. The Super Bowl is a national championship game. The Super Bowl is a national championship game. The Super Bowl is a national,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniv",5,0.6183413863182068,1,0,0.0,0.0,0.0,0.24621812,2,1,1,0,0.5,0.5,0.0,0.5,0.910585880279541
v1,hybrid_v1+LLM,Who won Super Bowl 50?,Denver Broncos,The Super Bowl 50 was the first time the NFL had ever been televised. The NFL has always been a big part of the Super Bowl. The NFL has always been a big part of the Super Bowl. The NFL has always been a big part of the Super Bowl. The NFL has always been a,"Super Bowl 50 featured numerous records from individuals and teams. Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11). Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team. The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV. Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost. The Broncos' seven sacks tied a Super Bowl record set",5,0.8797032762600538,1,0,0.0,0.0,0.0,0.30064797,3,0,1,2,0.0,0.3333333333333333,0.6666666666666666,1.0,1.1323609352111816
v1,bm25_v1+LLM,What venue did Super Bowl 50 take place in?,Levi's Stadium,"The Super Bowl 50 was held in the Bay Area in the U.S. and was hosted by the Bay Area's top-tier sports teams. The Super Bowl 50 was held in the Bay Area's Bay Area's Bay Area, and was hosted by the Bay Area's top-tier sports teams","CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever. The Super Bowl 50 Host Committee has vowed to be ""the most giving Super Bowl ever"", and will dedicate 25 ",5,21.273147950884265,0,0,0.0,0.0,0.03508771929824561,0.29849446,4,1,3,0,0.25,0.75,0.0,0.75,0.9948654174804688
